,실험 이름 :,20240723
지속기간:,2 0
'0:1:57.1,7003
'0:1:57.15,6940
'0:1:57.2,6881
'0:1:57.25,6817
'0:1:57.3,6764
'0:1:57.35,6711
'0:1:57.4,6664
'0:1:57.45,6614
'0:1:57.5,6565
'0:1:57.55,6522
'0:1:57.6,6486
'0:1:57.65,6443
'0:1:57.7,6412
'0:1:57.75,6389
'0:1:57.8,6371
'0:1:57.85,6359
'0:1:57.9,6345
'0:1:57.95,6320
'0:1:58.0,6297
'0:1:58.05,6270
'0:1:58.1,6244
'0:1:58.15,6219
'0:1:58.2,6198
'0:1:58.25,6177
'0:1:58.3,6161
'0:1:58.35,6140
'0:1:58.4,6118
'0:1:58.45,6105
'0:1:58.5,6100
'0:1:58.55,6094
'0:1:58.6,6087
'0:1:58.65,6078
'0:1:58.7,6072
'0:1:58.75,6071
'0:1:58.8,6074
'0:1:58.85,6084
'0:1:58.9,6094
'0:1:58.95,6106
'0:1:59.0,6117
'0:1:59.05,6136
'0:1:59.1,6157
'0:1:59.15,6175
'0:1:59.2,6198
'0:1:59.25,6231
'0:1:59.3,6259
'0:1:59.35,6299
'0:1:59.4,6337
'0:1:59.45,6370
'0:1:59.5,6405
'0:1:59.55,6447
'0:1:59.6,6483
'0:1:59.65,6522
'0:1:59.7,6558
'0:1:59.75,6596
'0:1:59.8,6629
'0:1:59.85,6667
'0:1:59.9,6707
'0:1:59.95,6746
'0:2:0,6787

sys info:[91~54~52~93~44~91~34~51~54~126~50~126~49~126~49~126~35~49~55~51~48~97~57~126~76~101~102~116~126~50~48~48~48~48~126~48~126~89~101~115~34~93~44~91~34~82~97~116~101~34~93~44~91~56~93~44~91~34~82~101~115~101~114~118~101~34~93~44~91~34~78~111~110~101~34~93~44~91~34~84~111~116~97~108~95~115~97~109~112~108~101~115~34~93~44~91~50~52~48~49~93~44~91~34~69~120~112~32~73~68~34~93~44~91~34~50~48~50~52~45~48~55~45~50~51~32~49~50~58~49~57~58~53~49~46~57~56~49~48~48~48~34~93]

주의! 파일을 변경하면 가 데이터를 읽지 못할 수 있습니다.
